Xnorm,Ynorm,XoutNorm,YoutNorm
0.338726754,0.892552092,0.366911531,0.333550592
0.339706091,0.892063427,0.375110838,0.337684666
0.340647821,0.891397007,0.383310145,0.341818741
0.341551946,0.890552831,0.391509452,0.345952816
0.342418464,0.889530901,0.399708759,0.35008689
0.343247377,0.888331216,0.392927187,0.345813567
0.344115162,0.88727855,0.386145615,0.341540243
0.34502182,0.886372904,0.379364042,0.33726692
0.34596735,0.885614277,0.37258247,0.332993596
0.346951754,0.88500267,0.365800897,0.328720273
0.34797503,0.884538083,0.359019325,0.324446949
0.349037179,0.884220516,0.352237753,0.320173626
0.350138201,0.884049968,0.34545618,0.315900302
0.351278095,0.88402644,0.338674608,0.311626979
0.352456862,0.884149931,0.346873915,0.315761053
0.353598024,0.884095667,0.355073222,0.319895128
0.354701579,0.883863649,0.363272529,0.324029202
0.355767528,0.883453875,0.371471836,0.328163277
0.356795871,0.882866346,0.379671143,0.332297352
0.357786608,0.882101061,0.38787045,0.336431426
0.358739738,0.881158022,0.396069757,0.340565501
0.359655263,0.880037227,0.404269064,0.344699575
0.360533182,0.878738678,0.412468371,0.34883365
0.361373495,0.877262373,0.420667679,0.352967724
0.362176201,0.875608313,0.428866986,0.357101799
0.362941302,0.873776498,0.437066293,0.361235874
0.363668796,0.871766928,0.4452656,0.365369948
0.364358685,0.869579602,0.438484027,0.361096625
0.365087446,0.867539297,0.431702455,0.356823301
0.36585508,0.865646011,0.424920883,0.352549978
0.366661586,0.863899744,0.41813931,0.348276654
0.367506966,0.862300498,0.411357738,0.344003331
0.368391218,0.860848271,0.404576165,0.339730007
0.369314343,0.859543063,0.397794593,0.335456684
0.37027634,0.858384875,0.391013021,0.33118336
0.371277211,0.857373707,0.384231448,0.326910037
0.372316954,0.856509559,0.377449876,0.322636713
0.37339557,0.85579243,0.385649183,0.326770788
0.37443658,0.854897546,0.39384849,0.330904862
0.375439984,0.853824907,0.402047797,0.335038937
0.376405782,0.852574513,0.410247104,0.339173011
0.377333973,0.851146364,0.418446411,0.343307086
0.378224559,0.849540459,0.426645718,0.347441161
0.379077539,0.8477568,0.434845025,0.351575235
0.379892912,0.845795385,0.443044332,0.35570931
0.38067068,0.843656215,0.451243639,0.359843384
0.381410841,0.84133929,0.459442946,0.363977459
0.382113396,0.83884461,0.467642254,0.368111534
0.382778345,0.836172175,0.460860681,0.36383821
0.383482167,0.833646759,0.454079109,0.359564887
0.384224862,0.831268363,0.447297536,0.355291563
0.38500643,0.829036987,0.440515964,0.35101824
0.38582687,0.82695263,0.433734392,0.346744916
0.386686183,0.825015293,0.426952819,0.342471592
0.387584369,0.823224976,0.420171247,0.338198269
0.388521427,0.821581678,0.413389674,0.333924945
0.389497359,0.8200854,0.406608102,0.329651622
0.390512163,0.818736142,0.39982653,0.325378298
0.39156584,0.817533903,0.408025837,0.329512373
0.39258191,0.81615391,0.416225144,0.333646448
0.393560375,0.814596161,0.424424451,0.337780522
0.394501234,0.812860656,0.432623758,0.341914597
0.395404486,0.810947397,0.440823065,0.346048671
0.396270133,0.808856383,0.449022372,0.350182746
0.397098173,0.806587613,0.457221679,0.354316821
0.397888608,0.804141089,0.465420986,0.358450895
0.398641436,0.801516809,0.473620293,0.36258497
0.399356658,0.798714774,0.4818196,0.366719044
0.400034274,0.795734984,0.475038028,0.362445721
0.400750763,0.792902213,0.468256456,0.358172397
0.401506125,0.790216463,0.461474883,0.353899074
0.402300359,0.787677732,0.454693311,0.34962575
0.403133467,0.78528602,0.447911738,0.345352427
0.404005447,0.783041328,0.441130166,0.341079103
0.404916299,0.780943656,0.434348594,0.33680578
0.405866025,0.778993004,0.427567021,0.332532456
0.406854623,0.777189371,0.420785449,0.328259133
0.407882094,0.775532758,0.414003877,0.323985809
0.408948438,0.774023164,0.422203184,0.328119884
0.409977176,0.772335816,0.430402491,0.332253958
0.410968307,0.770470712,0.438601798,0.336388033
0.411921833,0.768427853,0.446801105,0.340522108
0.412837752,0.766207239,0.455000412,0.344656182
0.413716066,0.76380887,0.463199719,0.348790257
0.414556773,0.761232746,0.471399026,0.352924331
0.415359875,0.758478866,0.479598333,0.357058406
0.41612537,0.755547232,0.48779764,0.36119248
0.416853259,0.752437842,0.495996947,0.365326555
0.417543542,0.749150697,0.504196254,0.36946063
0.418196219,0.745685797,0.497414682,0.365187306
0.418887769,0.742367917,0.490633109,0.360913983
0.419618191,0.739197056,0.483851537,0.356640659
0.420387487,0.736173215,0.477069965,0.352367336
0.421195655,0.733296394,0.470288392,0.348094012
0.422042696,0.730566592,0.46350682,0.343820689
0.422928609,0.72798381,0.456725248,0.339547365
0.423853396,0.725548048,0.449943675,0.335274042
0.424817055,0.723259305,0.443162103,0.331000718
0.425819587,0.721117582,0.43638053,0.326727395
0.426860991,0.719122878,0.444579837,0.330861469
0.42786479,0.71695042,0.452779145,0.334995544
0.428830982,0.714600206,0.460978452,0.339129618
0.429759569,0.712072237,0.469177759,0.343263693
0.430650549,0.709366513,0.477377066,0.347397767
0.431503923,0.706483034,0.485576373,0.351531842
0.432319692,0.7034218,0.49377568,0.355665917
0.433097854,0.700182811,0.501974987,0.359799991
0.43383841,0.696766066,0.510174294,0.363934066
0.43454136,0.693171567,0.518373601,0.36806814
0.435206704,0.689399312,0.526572908,0.372202215
0.435834442,0.685449302,0.534772215,0.37633629
0.436424574,0.681321537,0.527990643,0.372062966
0.437053578,0.677340791,0.52120907,0.367789643
0.437721456,0.673507065,0.514427498,0.363516319
0.438428206,0.669820359,0.507645926,0.359242996
0.439173829,0.666280673,0.500864353,0.354969672
0.439958324,0.662888006,0.494082781,0.350696349
0.440781693,0.659642359,0.487301208,0.346423025
0.441643934,0.656543732,0.480519636,0.342149701
0.442545048,0.653592124,0.473738064,0.337876378
0.443485034,0.650787536,0.466956491,0.333603054
